date,location,new_cases,new_deaths,total_cases,total_deaths
2020-01-21,China,,,278,6
2020-01-22,China,32,0,310,6
2020-01-23,China,264,11,574,17
2020-01-24,China,261,8,835,25
2020-01-25,China,462,16,1297,41
2020-01-26,China,688,15,1985,56
2020-01-27,China,776,24,2761,80
2020-01-28,China,1776,26,4537,106
2020-01-29,China,1460,26,5997,132
2020-01-30,China,1739,38,7736,170
2020-01-31,China,1984,43,9720,213
2020-02-01,China,2101,46,11821,259
2020-02-02,China,2590,45,14411,304
2020-02-03,China,2827,57,17238,361
2020-02-04,China,3233,64,20471,425
2020-02-05,China,3892,66,24363,491
2020-02-06,China,3697,73,28060,564
2020-02-07,China,3151,73,31211,637
2020-02-08,China,3387,86,34598,723
2020-02-09,China,2653,89,37251,812
2020-02-10,China,2984,97,40235,909
2020-02-11,China,2473,108,42708,1017
2020-02-12,China,2022,97,44730,1114
2020-02-13,China,1820,254,46550,1368
2020-02-14,China,1998,13,48548,1381
2020-02-15,China,1506,143,50054,1524
2020-02-16,China,1120,142,51174,1666
2020-02-17,China,19461,106,70635,1772
2020-02-18,China,1893,98,72528,1870
2020-02-19,China,1752,136,74280,2006
2020-02-20,China,395,115,74675,2121
2020-02-21,China,894,118,75569,2239
2020-02-22,China,823,109,76392,2348
2020-02-23,China,650,97,77042,2445
2020-02-24,China,220,150,77262,2595
2020-02-25,China,518,71,77780,2666
2020-02-26,China,411,52,78191,2718
2020-02-27,China,439,29,78630,2747
2020-02-28,China,331,44,78961,2791
2020-02-29,China,433,47,79394,2838
2020-03-01,China,574,35,79968,2873
2020-03-02,China,206,42,80174,2915
2020-03-03,China,130,31,80304,2946
2020-03-04,China,118,38,80422,2984
2020-03-05,China,143,31,80565,3015
2020-03-06,China,146,30,80711,3045
2020-03-07,China,102,28,80813,3073
2020-03-08,China,46,27,80859,3100
2020-03-09,China,45,23,80904,3123
2020-03-10,China,20,17,80924,3140
2020-03-11,China,31,22,80955,3162
