date,location,new_cases,new_deaths,total_cases,total_deaths
2020-02-18,United States of America,0,,15,
2020-02-19,United States of America,0,,15,
2020-02-20,United States of America,0,,15,
2020-02-21,United States of America,0,,15,
2020-02-22,United States of America,20,,35,
2020-02-23,United States of America,0,,35,
2020-02-24,United States of America,0,,35,
2020-02-25,United States of America,18,,53,
2020-02-26,United States of America,0,,53,
2020-02-27,United States of America,6,,59,
2020-02-28,United States of America,0,,59,
2020-02-29,United States of America,3,,62,
2020-03-01,United States of America,0,,62,
2020-03-02,United States of America,0,,62,
2020-03-03,United States of America,2,,64,2
2020-03-04,United States of America,44,4,108,6
2020-03-05,United States of America,21,3,129,9
2020-03-06,United States of America,19,1,148,10
2020-03-07,United States of America,65,1,213,11
2020-03-08,United States of America,0,0,213,11
2020-03-09,United States of America,0,0,213,11
2020-03-10,United States of America,259,8,472,19
2020-03-11,United States of America,224,6,696,25
